เดือน,10_บาท_8.5_กรัม_จ่ายได้,10_บาท_8.5_กรัม_ชำรุด,10_บาท_8.5_กรัม_รวมทั้งสิ้น,5_บาท_6.0_กรัม_จ่ายได้,5_บาท_6.0_กรัม_ชำรุด,5_บาท_6.0_กรัม_รวมทั้งสิ้น,2_บาท_4.0_กรัม_จ่ายได้,2_บาท_4.0_กรัม_ชำรุด,2_บาท_4.0_กรัม_รวมทั้งสิ้น,1_บาท_3.0_กรัม_จ่ายได้,1_บาท_3.0_กรัม_ชำรุด,1_บาท_3.0_กรัม_รวมทั้งสิ้น,50_สตางค์_2.4_กรัม_จ่ายได้,50_สตางค์_2.4_กรัม_ชำรุด,50_สตางค์_2.4_กรัม_รวมทั้งสิ้น,25_สตางค์_1.9_กรัม_จ่ายได้,25_สตางค์_1.9_กรัม_ชำรุด,25_สตางค์_1.9_กรัม_รวมทั้งสิ้น,ปีงบประมาณ,เดือน,,
10/1/2562,18010952.00,439215.00,18450167.00,20904975.00,462803.00,21367778.00,13197326.00,362321.00,13559647.00,58877393.00,1209345.00,60086738.00,416114.00,142082.00,558196.00,710760.00,168280.00,879040.00,2563.00,10.00,,
11/1/2562,15915234.00,413656.00,16328890.00,20698627.00,462031.00,21160658.00,12830938.00,376428.00,13207366.00,59087540.00,1210682.00,60298222.00,374370.00,219944.00,594314.00,767252.00,276380.00,1043632.00,2563.00,11.00,,
12/1/2562,14495252.00,376641.00,14871893.00,17376361.00,405790.00,17782151.00,10827097.00,291688.00,11118785.00,48279287.00,931113.00,49210400.00,445280.00,304336.00,749616.00,740924.00,358072.00,1098996.00,2563.00,12.00,,
1/1/2563,18797081.00,365556.00,19162637.00,21007644.00,401380.00,21409024.00,12312601.00,324548.00,12637149.00,54156490.00,1036095.00,55192585.00,636838.00,358704.00,995542.00,1985168.00,370040.00,2355208.00,2563.00,1.00,,
2/1/2563,14888302.00,360134.00,15248436.00,18861896.00,426710.00,19288606.00,11866010.00,312026.00,12178036.00,47159044.00,986590.00,48145634.00,504358.00,375998.00,880356.00,1032660.00,476588.00,1509248.00,2563.00,2.00,,
3/1/2563,17142214.00,381047.00,17523261.00,21697523.00,463388.00,22160911.00,11454884.00,320897.00,11775781.00,54294646.00,1116784.00,55411430.00,528476.00,396402.00,924878.00,922804.00,511864.00,1434668.00,2563.00,3.00,,
4/1/2563,17580563.00,350909.00,17931472.00,19490872.00,407224.00,19898096.00,8697226.00,264912.00,8962138.00,48573822.00,846103.00,49419925.00,289626.00,280712.00,570338.00,395320.00,361568.00,756888.00,2563.00,4.00,,
5/1/2563,15044031.00,362153.00,15406184.00,17277479.00,415568.00,17693047.00,11102422.00,286978.00,11389400.00,48940863.00,857454.00,49798317.00,264290.00,228554.00,492844.00,356776.00,270216.00,626992.00,2563.00,5.00,,
6/1/2563,13979608.00,389427.00,14369035.00,17020149.00,459351.00,17479500.00,11556109.00,300142.00,11856251.00,53621529.00,981290.00,54602819.00,758248.00,299422.00,1057670.00,969264.00,713236.00,1682500.00,2563.00,6.00,,
7/1/2563,13872158.00,331378.00,14203536.00,16346522.00,395140.00,16741662.00,9659693.00,234388.00,9894081.00,53384247.00,876359.00,54260606.00,550792.00,354192.00,904984.00,866084.00,462988.00,1329072.00,2563.00,7.00,,
8/1/2563,15708977.00,377557.00,16086534.00,19951648.00,472101.00,20423749.00,11574334.00,332731.00,11907065.00,59874306.00,935875.00,60810181.00,403976.00,193742.00,597718.00,636884.00,262532.00,899416.00,2563.00,8.00,,
9/1/2563,16149629.00,384195.00,16533824.00,21199697.00,529460.00,21729157.00,9926994.00,300863.00,10227857.00,55845130.00,943264.00,56788394.00,364698.00,197678.00,562376.00,667124.00,262036.00,929160.00,2563.00,9.00,,
10/1/2563,18797302.00,436251.00,19233553.00,21727625.00,496707.00,22224332.00,11286626.00,316556.00,11603182.00,59124504.00,1052599.00,60177103.00,615116.00,321236.00,936352.00,1195572.00,367192.00,1562764.00,2564.00,10.00,,
11/1/2563,20808104.00,498683.00,21306787.00,22507032.00,594315.00,23101347.00,10757820.00,339149.00,11096969.00,56921025.00,1142236.00,58063261.00,635216.00,190462.00,825678.00,1042124.00,222332.00,1264456.00,2564.00,11.00,,
12/1/2563,18265749.00,458361.00,18724110.00,22367699.00,561323.00,22929022.00,10910135.00,320225.00,11230360.00,62111745.00,1176493.00,63288238.00,794154.00,369044.00,1163198.00,1336120.00,480012.00,1816132.00,2564.00,12.00,,
1/1/2564,16296434.00,383855.00,16680289.00,22512483.00,570942.00,23083425.00,12683678.00,330948.00,13014626.00,55396265.00,990072.00,56386337.00,709170.00,202726.00,911896.00,1406536.00,259388.00,1665924.00,2564.00,1.00,,
2/1/2564,20213229.00,474210.00,20687439.00,21675608.00,505308.00,22180916.00,12135175.00,315248.00,12450423.00,55262124.00,1007091.00,56269215.00,781388.00,167372.00,948760.00,1393304.00,235644.00,1628948.00,2564.00,2.00,,
3/1/2564,20391032.00,506030.00,20897062.00,24422002.00,624461.00,25046463.00,12315501.00,359542.00,12675043.00,64992400.00,1228226.00,66220626.00,736588.00,175006.00,911594.00,1400536.00,201792.00,1602328.00,2564.00,3.00,,
4/1/2564,14714581.00,395758.00,15110339.00,15800852.00,403273.00,16204125.00,7804151.00,234227.00,8038378.00,38619532.00,728180.00,39347712.00,410994.00,167060.00,578054.00,798924.00,205340.00,1004264.00,2564.00,4.00,,
5/1/2564,14049024.00,382438.00,14431462.00,17077021.00,477223.00,17554244.00,7596355.00,248695.00,7845050.00,38301325.00,780686.00,39082011.00,369094.00,98340.00,467434.00,646440.00,131780.00,778220.00,2564.00,5.00,,
6/1/2564,16840803.00,512160.00,17352963.00,25690410.00,790977.00,26481387.00,10025051.00,480093.00,10505144.00,50347258.00,1185504.00,51532762.00,497474.00,217068.00,714542.00,562660.00,216044.00,778704.00,2564.00,6.00,,
7/1/2564,14975131.00,467515.00,15442646.00,19990499.00,646348.00,20636847.00,10109435.00,328562.00,10437997.00,49225295.00,902687.00,50127982.00,471542.00,164276.00,635818.00,600328.00,80092.00,680420.00,2564.00,7.00,,
8/1/2564,14226438.00,519820.00,14746258.00,18321890.00,1464127.00,19786017.00,6610302.00,746524.00,7356826.00,45914842.00,3503794.00,49418636.00,274328.00,66630.00,340958.00,491216.00,168912.00,660128.00,2564.00,8.00,,
9/1/2564,12767639.00,452401.00,13220040.00,18635582.00,1634180.00,20269762.00,7686776.00,871484.00,8558260.00,48262646.00,2700021.00,50962667.00,238148.00,98636.00,336784.00,400072.00,97004.00,497076.00,2564.00,9.00,,
10/1/2564,14320542.00,690441.00,15010983.00,17886683.00,621894.00,18508577.00,7889417.00,570252.00,8459669.00,48349079.00,1171766.00,49520845.00,481324.00,94500.00,575824.00,822100.00,134576.00,956676.00,2565.00,10.00,,
11/1/2564,14757908.00,1020407.00,15778315.00,19862290.00,988359.00,20850649.00,10245440.00,754508.00,10999948.00,56036083.00,1850676.00,57886759.00,498658.00,257652.00,756310.00,983224.00,320308.00,1303532.00,2565.00,11.00,,
12/1/2564,13964252.00,998528.00,14962780.00,17320328.00,726245.00,18046573.00,6762297.00,510650.00,7272947.00,45464844.00,1414639.00,46879483.00,779700.00,243664.00,1023364.00,1244044.00,307584.00,1551628.00,2565.00,12.00,,
1/1/2565,12387794.00,730743.00,13118537.00,16009124.00,604961.00,16614085.00,7679090.00,492521.00,8171611.00,40030873.00,975610.00,41006483.00,389286.00,233830.00,623116.00,833536.00,274536.00,1108072.00,2565.00,1.00,,
2/1/2565,12618133.00,516176.00,13134309.00,15713611.00,595054.00,16308665.00,6566518.00,386316.00,6952834.00,40375993.00,982905.00,41358898.00,353076.00,135692.00,488768.00,704736.00,223260.00,927996.00,2565.00,2.00,,
3/1/2565,14920001.00,720903.00,15640904.00,19192240.00,747049.00,19939289.00,7505182.00,438224.00,7943406.00,49223838.00,1318975.00,50542813.00,449198.00,334702.00,783900.00,883392.00,426112.00,1309504.00,2565.00,3.00,,
4/1/2565,12157298.00,686960.00,12844258.00,17206759.00,647119.00,17853878.00,5829641.00,432461.00,6262102.00,42784006.00,1056651.00,43840657.00,247694.00,289760.00,537454.00,529396.00,374344.00,903740.00,2565.00,4.00,,
5/1/2565,15820847.00,903174.00,16724021.00,21642730.00,811173.00,22453903.00,7283768.00,583878.00,7867646.00,48634813.00,1274696.00,49909509.00,452290.00,338174.00,790464.00,735912.00,472696.00,1208608.00,2565.00,5.00,,
6/1/2565,17538229.00,673227.00,18211456.00,21848581.00,751063.00,22599644.00,9366511.00,427363.00,9793874.00,54289396.00,1367088.00,55656484.00,454430.00,210510.00,664940.00,809672.00,282764.00,1092436.00,2565.00,6.00,,
7/1/2565,13780929.00,450601.00,14231530.00,17553384.00,589970.00,18143354.00,6789964.00,280542.00,7070506.00,44678566.00,995807.00,45674373.00,424592.00,206656.00,631248.00,824696.00,340716.00,1165412.00,2565.00,7.00,,
8/1/2565,15649612.00,917845.00,16567457.00,23975443.00,871414.00,24846857.00,8194302.00,612711.00,8807013.00,62111592.00,1529207.00,63640799.00,506512.00,207264.00,713776.00,854684.00,266952.00,1121636.00,2565.00,8.00,,
9/1/2565,11562426.00,614786.00,12177212.00,20269101.00,1013732.00,21282833.00,7632247.00,568050.00,8200297.00,47374780.00,1555220.00,48930000.00,275048.00,206698.00,481746.00,478124.00,260180.00,738304.00,2565.00,9.00,,
10/1/2565,11264080.00,546960.00,11811040.00,19225549.00,769809.00,19995358.00,7111569.00,527503.00,7639072.00,45064685.00,1290004.00,46354689.00,267764.00,272374.00,540138.00,318696.00,325544.00,644240.00,2566.00,10.00,,
11/1/2565,13677067.00,588963.00,14266030.00,20431563.00,877216.00,21308779.00,8852439.00,531492.00,9383931.00,63938007.00,1498095.00,65436102.00,398350.00,247060.00,645410.00,744944.00,263048.00,1007992.00,2566.00,11.00,,
12/1/2565,12564771.00,791564.00,13356335.00,22340978.00,969786.00,23310764.00,8327263.00,534116.00,8861379.00,50830953.00,1256920.00,52087873.00,345078.00,162976.00,508054.00,875004.00,203368.00,1078372.00,2566.00,12.00,,
1/1/2566,13090520.00,631885.00,13722405.00,22360903.00,905173.00,23266076.00,7057677.00,463865.00,7521542.00,59553177.00,1636659.00,61189836.00,731606.00,396638.00,1128244.00,1295692.00,551320.00,1847012.00,2566.00,1.00,,
2/1/2566,12502596.00,757024.00,13259620.00,21202231.00,877700.00,22079931.00,7223180.00,599731.00,7822911.00,55531997.00,1539082.00,57071079.00,415270.00,318662.00,733932.00,697792.00,459000.00,1156792.00,2566.00,2.00,,
3/1/2566,13723694.00,647818.00,14371512.00,23829275.00,919102.00,24748377.00,9217470.00,680833.00,9898303.00,58060600.00,1615871.00,59676471.00,401378.00,263118.00,664496.00,796508.00,330628.00,1127136.00,2566.00,3.00,,
4/1/2566,11579869.00,622485.00,12202354.00,17444593.00,740664.00,18185257.00,6863138.00,525886.00,7389024.00,48386091.00,1457911.00,49844002.00,392206.00,224912.00,617118.00,720320.00,291556.00,1011876.00,2566.00,4.00,,
5/1/2566,16563336.00,892026.00,17455362.00,22482475.00,1095637.00,23578112.00,9351535.00,655918.00,10007453.00,62297535.00,1900987.00,64198522.00,422960.00,210998.00,633958.00,802156.00,330168.00,1132324.00,2566.00,5.00,,
6/1/2566,16018977.00,879316.00,16898293.00,24622016.00,1162854.00,25784870.00,10359358.00,856155.00,11215513.00,68777319.00,2116573.00,70893892.00,412214.00,452498.00,864712.00,747328.00,562892.00,1310220.00,2566.00,6.00,,
7/1/2566,15891519.00,927769.00,16819288.00,22154293.00,1116974.00,23271267.00,9541670.00,813955.00,10355625.00,74838375.00,2221691.00,77060066.00,352986.00,433190.00,786176.00,573196.00,638904.00,1212100.00,2566.00,7.00,,
8/1/2566,19237485.00,1080028.00,20317513.00,27366798.00,1191326.00,28558124.00,10833313.00,1250561.00,12083874.00,77766705.00,2175990.00,79942695.00,486358.00,326064.00,812422.00,966852.00,438252.00,1405104.00,2566.00,8.00,,
9/1/2566,19339454.00,736851.00,20076305.00,23933026.00,900709.00,24833735.00,10761447.00,873049.00,11634496.00,67199091.00,1782629.00,68981720.00,258902.00,271858.00,530760.00,515860.00,342080.00,857940.00,2566.00,9.00,,
10/1/2566,16593503.00,789807.00,17383310.00,23873662.00,1090270.00,24963932.00,11933393.00,1067501.00,13000894.00,67263512.00,1908615.00,69172127.00,212614.00,367604.00,580218.00,470180.00,551236.00,1021416.00,2567.00,10.00,,
11/1/2566,17265609.00,823668.00,18089277.00,27702152.00,1280919.00,28983071.00,12468582.00,1107936.00,13576518.00,84192971.00,2536830.00,86729801.00,423026.00,332918.00,755944.00,868892.00,463312.00,1332204.00,2567.00,11.00,,
12/1/2566,13924815.00,680214.00,14605029.00,23150787.00,1044594.00,24195381.00,9412916.00,730015.00,10142931.00,68096004.00,2231912.00,70327916.00,414630.00,277816.00,692446.00,762612.00,403016.00,1165628.00,2567.00,12.00,,
1/1/2567,14755696.00,758605.00,15514301.00,26080789.00,1116470.00,27197259.00,11141896.00,968130.00,12110026.00,74179610.00,2232779.00,76412389.00,455560.00,398834.00,854394.00,863184.00,480296.00,1343480.00,2567.00,1.00,,
2/1/2567,15904833.00,724402.00,16629235.00,23555533.00,1057595.00,24613128.00,9598190.00,875355.00,10473545.00,71666721.00,2048506.00,73715227.00,766178.00,316836.00,1083014.00,1340288.00,447728.00,1788016.00,2567.00,2.00,,
3/1/2567,15264936.00,706868.00,15971804.00,24612639.00,1048670.00,25661309.00,11338799.00,908004.00,12246803.00,70065242.00,2157114.00,72222356.00,692402.00,452588.00,1144990.00,1388656.00,501240.00,1889896.00,2567.00,3.00,,
4/1/2567,14805978.00,685255.00,15491233.00,21380935.00,926459.00,22307394.00,8238003.00,842711.00,9080714.00,58298982.00,1724609.00,60023591.00,400178.00,399934.00,800112.00,735440.00,581196.00,1316636.00,2567.00,4.00,,
5/1/2567,18148744.00,837888.00,18986632.00,23232803.00,1077782.00,24310585.00,10232381.00,922570.00,11154951.00,74986902.00,2075566.00,77062468.00,661000.00,492086.00,1153086.00,1382176.00,635144.00,2017320.00,2567.00,5.00,,
6/1/2567,14370897.00,735972.00,15106869.00,24736067.00,1199254.00,25935321.00,10049731.00,883573.00,10933304.00,78454364.00,2357488.00,80811852.00,1859314.00,449396.00,2308710.00,2529544.00,618492.00,3148036.00,2567.00,6.00,,
7/1/2567,16285411.00,826592.00,17112003.00,25846277.00,1296118.00,27142395.00,10276864.00,1139465.00,11416329.00,86020286.00,2596982.00,88617268.00,914932.00,579180.00,1494112.00,3566312.00,888724.00,4455036.00,2567.00,7.00,,
8/1/2567,17367575.00,908129.00,18275704.00,25835321.00,1338617.00,27173938.00,10883312.00,1125015.00,12008327.00,82166834.00,2829884.00,84996718.00,1029670.00,376998.00,1406668.00,1852000.00,597368.00,2449368.00,2567.00,8.00,,
9/1/2567,14138322.00,750964.00,14889286.00,24437036.00,1213144.00,25650180.00,10043254.00,1125812.00,11169066.00,70880517.00,2374916.00,73255433.00,464604.00,504572.00,969176.00,615680.00,591644.00,1207324.00,2567.00,9.00,,
